Business Name,Address,City,Permit Id,Type,Class,Inspection Date,Inspection Type,Grade,Priority Violation *,
,,,,,,,,,,
,,,,,,,,,,
Peoria Boys & Girls Club,11820 N 81st Ave ,Peoria,FD-00002,E & D 0-9 Seating ,Class 2,3/20/19,Routine Inspection,A,0,
The Wise Owl,255 N Washington St ,Wickenburg,FD-00052,E & D 10+ Seating ,Class 5,3/22/19,Routine Inspection,A,0,
Buckeye Union High School,1000 E Narramore Ave ,Buckeye,FD-00064,School Food Service ,Class 3,3/25/19,Routine Inspection,A,0,
Alhambra School Dist No 68,4501 N 39th Ave ,Phoenix,FD-00083,Food Jobber ,Class 2,3/21/19,Routine Inspection,A,0,
Hopi School,5110 E Lafayette Blvd ,Scottsdale,FD-00113,School Food Service ,Class 3,3/20/19,Routine Inspection,A,0,
Alhambra S D O Snack Bar,4510 N 37th Ave ,Phoenix,FD-00176,School Food Service ,Class 3,3/21/19,Routine Inspection,A,0,
Facios Market,1001 S 3rd St ,Phoenix,FD-00279,Retail Food Establishment ,Class 2,3/22/19,Routine Inspection,Not Participating,0,
Sizzling Wok,623 W Wickenburg Way ,Wickenburg,FD-00285,E & D 10+ Seating ,Class 4,3/20/19,Routine Inspection,A,0,
O'Connor's Pub,2601 W Dunlap Ave Suite 7,Phoenix,FD-00287,E & D 10+ Seating ,Class 2,3/25/19,Routine Inspection,A,0,
Classic Catering,9855 W Peoria Ave Suite 2,Peoria,FD-00302,Food Catering ,Class 5,3/21/19,Routine Inspection,A,0,
Raffaele Pizza,7019 N 19th Ave ,Phoenix,FD-00354,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,Not Participating,0,
Circle K Store No 242,410 W Wickenburg Way ,Wickenburg,FD-00507,E & D 0-9 Seating ,Class 2,3/25/19,Routine Inspection,B,0,
Ray's Pizza,15603 N 59th Ave ,Glendale,FD-00632,E & D 10+ Seating ,Class 3,3/21/19,Routine Inspection,A,0,
The Siamese Cat,5034 S Price Rd ,Tempe,FD-00648,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,Not Participating,0,
4 Sons Food Store No 502,445 E Carefree Hwy ,Phoenix,FD-00654,E & D 0-9 Seating ,Class 3,3/20/19,Routine Inspection,Not Participating,0,
4 Sons Food Store No 502,445 E Carefree Hwy ,Phoenix,FD-00655,Retail Food Establishment ,Class 2,3/20/19,Routine Inspection,Not Participating,0,
McCormick Ranch Golf Club,7505 E Mccormick Pkwy ,Scottsdale,FD-00699,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,Not Participating,0,
Tortilla Flat,1 Main St ,Tortilla Flat,FD-00722,E & D 0-9 Seating ,Class 2,3/20/19,Routine Inspection,A,0,
Tortilla Flat,1 Main St ,Tortilla Flat,FD-00723,E & D 10+ Seating ,Class 4,3/20/19,Routine Inspection,B,1,
Pete's Fish & Chips,1111 E Buckeye Rd ,Phoenix,FD-00724,E & D 10+ Seating ,Class 3,3/21/19,Routine Inspection,A,0,
Red Devil Italian Restaurant,3004 E Bell Rd ,Phoenix,FD-00877,E & D 10+ Seating ,Class 4,3/25/19,Routine Inspection,B,1,
