,restaurant,address,recent_health_score,recent_health_risk,average_health_score,zipcode,yelp_business_id,rating,price,review_count,category_1,category_2,category_3,distance,cuisine,median_income,zip_lat,zip_lng
0,Norman's Ice Cream and Freezes,2801 Leavenworth St,96,Low Risk,96.0,94133,sfAIpzEC8ywpy36YhzikmQ,4.5,$,289.0,Ice Cream & Frozen Yogurt,Coffee & Tea,Juice Bars & Smoothies,8.031888244,Other,45203,37.804531,-122.410852
1,Chowders,Pier 39  Space A3,98,Low Risk,94.5,94133,oic-xcRpi-yXG3KZ4go0mg,3.5,$$,768.0,Seafood,Fish & Chips,Soup,57.33469961,Other,45203,37.804531,-122.410852
2,XOX Truffles,754 Columbus Ave,94,Moderate Risk,94.0,94133,qkHlhvv6DrCkvY54ogcPiA,4.5,$,604.0,Chocolatiers & Shops,Coffee & Tea,,3.2865799460000003,Other,45203,37.804531,-122.410852
3,Centerfolds,391 Broadway St,90,Low Risk,90.85714286,94133,6Ki5PvDCebTkCRkGEXD1qw,3.5,$$,151.0,Cabaret,Strip Clubs,,7.262055546,Other,45203,37.804531,-122.410852
4,Caffe Puccini,411 Columbus Ave,90,Low Risk,90.0,94133,uzqUJiCHUqV2c3PnvSsqeQ,4.0,$,966.0,Coffee & Tea,Desserts,Sandwiches,25.5784951,Other,45203,37.804531,-122.410852
5,Gelato Classico Italian Ice,576 Union St,93,High Risk,95.0,94133,yHUapaoG0LNKVgUagsFXpQ,4.0,$,231.0,Ice Cream & Frozen Yogurt,Gelato,,4.84630379,Other,45203,37.804531,-122.410852
6,Buster's,366 Columbus Ave,74,Low Risk,76.13333333,94133,Iq0137dlAydEXdKJorWJxw,4.0,$,767.0,American (Traditional),Cheesesteaks,Burgers,6.463996738,American,45203,37.804531,-122.410852
7,Michelangelo Caffe,579 Columbus Ave,96,Moderate Risk,94.66666667,94133,p4noc5fB5D3l54uik05XNA,3.5,$$,531.0,Italian,Pizza,,6.565659449,Italian,45203,37.804531,-122.410852
8,Calzone's,430 Columbus Ave,87,Low Risk,87.0,94133,eIp-wW02p_jcrZ2atZGDRA,3.5,$$,1431.0,Pizza,Salad,,5.903672447000001,Other,45203,37.804531,-122.410852
9,Bohemian Cigar Store,566 Columbus Ave,86,Moderate Risk,87.5,94133,UjeOgcv831QTChTP04-Uag,4.0,$$,554.0,Italian,Bars,,6.651924707,Italian,45203,37.804531,-122.410852
