Category 1,Frequency
Coffee & Tea,332
Mexican,164
Chinese,159
Pizza,153
Grocery,149
Bakeries,131
American (New),130
Sandwiches,120
Italian,113
Sushi Bars,94
Japanese,93
Vietnamese,90
Thai,77
Elementary Schools,71
American (Traditional),68
Breakfast & Brunch,68
Hotels,67
Cafes,62
Burgers,58
Indian,57
Delis,56
Seafood,56
"Beer, Wine & Spirits",55
Ice Cream & Frozen Yogurt,51
Bars,49
Wine Bars,46
Dim Sum,43
Food Trucks,41
Korean,40
Juice Bars & Smoothies,37
Mediterranean,36
Fast Food,33
French,33
Desserts,32
Salad,32
Bubble Tea,29
Ramen,29
Caterers,28
Lounges,25
Donuts,24
Middle Schools & High Schools,24
Cocktail Bars,23
Pubs,23
Venues & Event Spaces,23
Sports Bars,22
Meat Shops,21
Asian Fusion,19
Barbeque,18
Latin American,18
Steakhouses,18
Cinema,16
Convenience Stores,16
Salvadoran,16
Creperies,14
Diners,14
Dive Bars,14
Greek,14
Fruits & Veggies,13
Middle Eastern,13
Vegetarian,12
Chocolatiers & Shops,11
Gastropubs,11
International Grocery,11
Poke,11
Bagels,10
Cantonese,10
Community Service/Non-Profit,10
Peruvian,10
Farmers Market,9
Filipino,9
Hawaiian,9
Soul Food,9
Szechuan,9
Tea Rooms,9
Beer Bar,8
Breweries,8
Burmese,8
Cheese Shops,8
Chicken Wings,8
Ethiopian,8
Gas Stations,8
Hot Pot,8
Spanish,8
Specialty Food,8
Tapas/Small Plates,8
Candy Stores,7
Music Venues,7
Seafood Markets,7
Shanghainese,7
Dance Clubs,6
Food Stands,6
German,6
Retirement Homes,6
Churches,5
Coffee Roasteries,5
Comfort Food,5
Conveyor Belt Sushi,5
Gyms,5
Health Markets,5
Hot Dogs,5
Preschools,5
Russian,5
Southern,5
Tacos,5
Taiwanese,5
Vegan,5
Art Galleries,4
Cajun/Creole,4
Caribbean,4
Gelato,4
Irish,4
Irish Pub,4
Jazz & Blues,4
Kitchen & Bath,4
Moroccan,4
Social Clubs,4
Turkish,4
,3
Adult Entertainment,3
Art Museums,3
Chicken Shop,3
Cooking Schools,3
Cuban,3
Custom Cakes,3
Gluten-Free,3
Golf,3
Halal,3
Hong Kong Style Cafe,3
Mongolian,3
Museums,3
Noodles,3
Performing Arts,3
Portuguese,3
Professional Sports Teams,3
Tapas Bars,3
Zoos,3
Arcades,2
Basque,2
Boating,2
Boot Camps,2
Brasseries,2
Buffets,2
Butcher,2
Cafeteria,2
Cambodian,2
Car Wash,2
Cheesesteaks,2
Child Care & Day Care,2
CSA,2
Czech,2
Do-It-Yourself Food,2
Drugstores,2
Falafel,2
Fondue,2
Gift Shops,2
Herbs & Spices,2
Himalayan/Nepalese,2
Indonesian,2
Internet Cafes,2
Izakaya,2
Japanese Curry,2
Laotian,2
Laundromat,2
Modern European,2
Patisserie/Cake Shop,2
Restaurants,2
Scandinavian,2
Senior Centers,2
Shared Office Spaces,2
Shopping Centers,2
Soup,2
Waffles,2
Afghan,1
Arabian,1
Argentine,1
Bed & Breakfast,1
Beer Gardens,1
Belgian,1
Bookstores,1
Bowling,1
Brazilian,1
Brewpubs,1
British,1
Cabaret,1
Champagne Bars,1
Colleges & Universities,1
Comedy Clubs,1
Cooking Classes,1
Cosmetics & Beauty Supply,1
Country Clubs,1
Cupcakes,1
Educational Services,1
Empanadas,1
Fish & Chips,1
Florists,1
Food Court,1
Gay Bars,1
Hookah Bars,1
Hospice,1
Hospitals,1
Imported Food,1
Karaoke,1
Live/Raw Food,1
Local Flavor,1
Medical Centers,1
Mini Golf,1
Montessori Schools,1
Naturopathic/Holistic,1
Neurologist,1
New Mexican Cuisine,1
Nicaraguan,1
Nightlife,1
Pakistani,1
Parking,1
Piano Bars,1
Pool & Billiards,1
Pool Halls,1
Pretzels,1
Public Services & Government,1
Public Transportation,1
Real Estate Agents,1
Reflexology,1
Rehabilitation Center,1
Senegalese,1
Shaved Snow,1
Shopping,1
Singaporean,1
Smog Check Stations,1
Software Development,1
South African,1
Special Education,1
Sports Clubs,1
Strip Clubs,1
Swimming Pools,1
Synagogues,1
Tennis,1
Teppanyaki,1
Thrift Stores,1
Tobacco Shops,1
Trainers,1
Videos & Video Game Rental,1
Vinyl Records,1
Vitamins & Supplements,1
Wholesale Stores,1
