business_id,business_name,business_address,recent_score,recent_risk,average_score,minimum_score,maximum_score
19,Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",96.0,Moderate Risk,94.33333333333333,94.0,96.0
24,OMNI S.F. Hotel - 2nd Floor Pantry,"500 California St, 2nd  Floor",98.0,Low Risk,98.0,98.0,98.0
31,Norman's Ice Cream and Freezes,2801 Leavenworth St,96.0,Low Risk,96.0,96.0,96.0
45,CHARLIE'S DELI CAFE,3202 FOLSOM St,88.0,Low Risk,86.3157894736842,84.0,88.0
48,ART'S CAFE,747 IRVING St,94.0,Low Risk,90.5,87.0,94.0
54,RHODA GOLDMAN PLAZA,2180 POST St,87.0,High Risk,89.8,87.0,94.0
56,CAFE X + O,1799 Church St,92.0,Low Risk,91.75,90.0,98.0
58,Oasis Grill,91 Drumm St,70.0,Low Risk,72.45454545454545,70.0,74.0
61,Chowders,Pier 39  Space A3,98.0,Low Risk,94.5,94.0,98.0
66,STARBUCKS,1800 IRVING St,96.0,Low Risk,97.66666666666667,96.0,100.0
76,OMNI S.F. Hotel - 3rd Floor Pantry,"500 California St, 3rd Floor",100.0,Low Risk,99.0,98.0,100.0
77,OMNI S.F. Hotel - Employee Cafeteria,"500 California St, Basement",94.0,Low Risk,95.0,94.0,96.0
80,Bon Appetit @ USF-LAW SCHOOL CAFE,2199 Fulton St,100.0,Low Risk,97.5,96.0,100.0
88,J.B.'S PLACE,1435 17th St,92.0,Low Risk,85.6,82.0,92.0
95,Vega,419 CORTLAND Ave,92.0,Low Risk,88.11764705882354,83.0,92.0
98,XOX Truffles,754 Columbus Ave,94.0,Moderate Risk,94.0,94.0,94.0
99,J & M A-1 CAFE RESTAURANT LLC,779 Clay St,84.0,Low Risk,83.0,82.0,84.0
101,Cable Car Corner,1099 Powell St,90.0,Moderate Risk,92.0,90.0,98.0
102,Akiko's Sushi Bar,542A Mason St,86.0,Moderate Risk,86.8,85.0,92.0
108,Rue Lepic,900 Pine St,100.0,,100.0,100.0,100.0
116,The Waterfront Restaurant,Pier 7 Embarcadero,89.0,Low Risk,81.9,76.0,96.0
121,Akikos Sushi,431 Bush St,90.0,Moderate Risk,90.0,90.0,90.0
125,Centerfolds,391 Broadway St,90.0,Low Risk,90.85714285714286,90.0,92.0
134,Mint,400 McAllister St,93.0,High Risk,87.0,85.0,93.0
140,Cafe Madeleine,300 California St,86.0,Moderate Risk,81.85714285714286,77.0,86.0
141,AFC SUSHI @ MOLLIE STONE'S 2,2435 CALIFORNIA St,100.0,,100.0,100.0,100.0
146,DEJA VU PIZZA & PASTA,3227 16th St,84.0,Low Risk,84.16666666666667,81.0,90.0
151,BUS STOP PIZZA #1,256 Divisadero St,92.0,Moderate Risk,84.14285714285714,81.0,92.0
155,CAFE COLE,609 Cole St,79.0,Moderate Risk,83.88888888888889,79.0,90.0
164,Ladle & Leaf,"50 Post St, 3rd Floor",87.0,High Risk,87.0,87.0,87.0
184,RADIO HABANA,1109 VALENCIA St,90.0,Moderate Risk,92.8,90.0,98.0
187,TAZA WRAPS & JUICE,"750 FONT, BLDG B Blvd",92.0,Moderate Risk,93.0,89.0,100.0
190,COURTYARD BY MARRIOTT-STAFF KITCHEN,299 02nd St,100.0,,100.0,100.0,100.0
192,ARLEQUIN,384 B Hayes St,86.0,High Risk,88.4,86.0,90.0
194,BAYSIDE COFFEE SHOP,2011 BAYSHORE Blvd,84.0,Low Risk,84.8,84.0,86.0
198,SUBWAY,3801 03rd St 310,94.0,Low Risk,94.0,94.0,94.0
200,JIM'S SMOKE SHOP,600 20th St,88.0,Low Risk,88.0,88.0,88.0
208,CONSTANS GROCERY,4124 03rd St,90.0,Moderate Risk,90.0,90.0,90.0
216,SORABOL,101 Spear St A12,94.0,Low Risk,94.0,94.0,94.0
217,PROGRESSIVE GROUNDS,400 CORTLAND Ave,92.0,Low Risk,91.92857142857143,90.0,94.0
226,Grumpy's American Pub,125 Vallejo St,84.0,Low Risk,84.61538461538461,82.0,88.0
231,Caffe Puccini,411 Columbus Ave,90.0,Low Risk,90.0,90.0,90.0
236,Gelato Classico Italian Ice,576 Union St,93.0,High Risk,95.0,93.0,96.0
239,Just Wonton,1241 Vicente St,88.0,Moderate Risk,86.66666666666667,84.0,88.0
240,MIKI RESTAURANT,3639 BALBOA St,77.0,Moderate Risk,79.5,77.0,82.0
247,Toy Boat Dessert Cafe,401 Clement St,90.0,Low Risk,86.3076923076923,83.0,90.0
251,THE BEANERY INC.,602 Irving St,96.0,Moderate Risk,97.0,96.0,98.0
253,Ann's Donut Coffee Shop,4488 Mission St,92.0,Low Risk,93.5,92.0,96.0
256,Marche Club of S.F.,4346 Mission St,90.0,Low Risk,92.0,90.0,96.0
268,LOS HERMANOS,2026 CHESTNUT St,91.0,High Risk,94.0,91.0,100.0
272,ON THE BRIDGE,1581 Webster St #206,72.0,High Risk,76.23529411764706,72.0,79.0
273,HAI SUN RESTAURANT,3137 LAGUNA St,84.0,Moderate Risk,79.37037037037037,75.0,84.0
275,Ben & Jerry's,170 O'Farrell St Basement,94.0,Low Risk,95.6,94.0,98.0
276,CORSAGNA,1668 UNION St,100.0,,100.0,100.0,100.0
279,Inga Donuts,1026 Hyde St,90.0,Moderate Risk,92.44444444444444,90.0,98.0
