restaurant,address,recent_health_score,recent_health_risk,average_health_score,zipcode,yelp_business_id,rating,price,review_count,category_1,category_2,category_3,distance,cuisine
Norman's Ice Cream and Freezes,2801 Leavenworth St,96,Low Risk,96.0,94133.0,sfAIpzEC8ywpy36YhzikmQ,4.5,$,289.0,Ice Cream & Frozen Yogurt,Coffee & Tea,Juice Bars & Smoothies,8.031888244,Other
CHARLIE'S DELI CAFE,3202 FOLSOM St,88,Low Risk,86.31578947,94117.0,hNze7c3mWvEnAXYT_geV9Q,4.5,$,82.0,Delis,Sandwiches,,11.89479258,Other
ART'S CAFE,747 IRVING St,94,Low Risk,90.5,94122.0,MXKWFQHoC0SXy9UI-Djn7g,4.0,$,1069.0,Diners,Korean,American (Traditional),8.885345238,Other
CAFE X + O,1799 Church St,92,Low Risk,91.75,94131.0,HhAmBwTYq_MXbOLzypRQjQ,3.5,$,223.0,Coffee & Tea,Sandwiches,,7.502404487000001,Other
Oasis Grill,91 Drumm St,70,Low Risk,72.45454545,94111.0,gBRjRvIfA4fIo6pNebTjuA,4.0,$$,1199.0,Mediterranean,Desserts,Salad,5.072414848999999,Mediterranean
Chowders,Pier 39  Space A3,98,Low Risk,94.5,94133.0,oic-xcRpi-yXG3KZ4go0mg,3.5,$$,768.0,Seafood,Fish & Chips,Soup,57.33469961,Other
STARBUCKS,1800 IRVING St,96,Low Risk,97.66666667,94122.0,hmGLNK_bVJ5t_NWX3T_fcw,2.5,$,173.0,Coffee & Tea,,,12.65765274,Other
J.B.'S PLACE,1435 17th St,92,Low Risk,85.6,94107.0,bJNVd1HqilRD3F9RO3t20g,4.5,$,158.0,Sandwiches,Cafes,,8.864817057,Other
Vega,419 CORTLAND Ave,92,Low Risk,88.11764706,94110.0,v5zt16ojbtRIU0I7VzqqVA,4.0,$$,570.0,Italian,Pizza,,7.77549528,Italian
XOX Truffles,754 Columbus Ave,94,Moderate Risk,94.0,94133.0,qkHlhvv6DrCkvY54ogcPiA,4.5,$,604.0,Chocolatiers & Shops,Coffee & Tea,,3.2865799460000003,Other
Cable Car Corner,1099 Powell St,90,Moderate Risk,92.0,94108.0,O1baF6z-vMnyaULoGFKT6g,2.5,$,5.0,Sandwiches,,,9.285624463,Other
Akiko's Sushi Bar,542A Mason St,86,Moderate Risk,86.8,94102.0,iIY6k6NnEeUmdmqkn9zJJw,3.5,$$,454.0,Sushi Bars,,,2.532335567,Japanese
Rue Lepic,900 Pine St,100,,100.0,94108.0,mNFQuOA_hhrqmJeHg-AzKA,4.0,$$$,291.0,French,,,6.9979379470000005,Other
Akikos Sushi,431 Bush St,90,Moderate Risk,90.0,94108.0,IRD_9JUjR-06zztisuTdAA,4.0,$$$,1789.0,Sushi Bars,Japanese,,7.570154264,Japanese
Centerfolds,391 Broadway St,90,Low Risk,90.85714286,94133.0,6Ki5PvDCebTkCRkGEXD1qw,3.5,$$,151.0,Cabaret,Strip Clubs,,7.262055546,Other
Mint,400 McAllister St,93,High Risk,87.0,94102.0,VwrkHwWi5_JBZzYeuUKn7Q,4.0,$,50.0,Cafes,,,5.790582216000001,Other
Cafe Madeleine,300 California St,86,Moderate Risk,81.85714286,94104.0,SOZuFpNqQTD5XprPD5XeVw,4.0,$$,466.0,Coffee & Tea,Bakeries,Sandwiches,4.384915898,Other
DEJA VU PIZZA & PASTA,3227 16th St,84,Low Risk,84.16666667,94103.0,5-B4VF38j-cba9rFtzcmFw,3.5,$,386.0,Pizza,Italian,,6.2497549470000004,Italian
BUS STOP PIZZA #1,256 Divisadero St,92,Moderate Risk,84.14285714,94117.0,4opwrzUv_FnwFBTkBFG-zQ,3.5,$,118.0,Pizza,,,7.471506183,Italian
CAFE COLE,609 Cole St,79,Moderate Risk,83.88888889,94117.0,po_SEkDkaDLXkBNY4H6Qaw,3.5,$,158.0,Coffee & Tea,Juice Bars & Smoothies,Sandwiches,8.945989672,Other
Ladle & Leaf,"50 Post St, 3rd Floor",87,High Risk,87.0,94104.0,AOdn7nKzs1S67ag_kgaFCg,4.0,$,25.0,Salad,Soup,Sandwiches,0.538268485,Other
RADIO HABANA,1109 VALENCIA St,90,Moderate Risk,92.8,94110.0,mxklgb9anKRXLhHMWN2qcw,4.0,$$,208.0,Cuban,Bars,,2.350186077,Other
ARLEQUIN,384 B Hayes St,86,High Risk,88.4,94102.0,BJFzN9WVqE5zUVtMdanVqQ,4.0,$$,825.0,Sandwiches,Breakfast & Brunch,Salad,11.55599403,Other
BAYSIDE COFFEE SHOP,2011 BAYSHORE Blvd,84,Low Risk,84.8,94134.0,IxGgjF0US9_-g13XB1BsKg,3.5,$$,185.0,Coffee & Tea,Breakfast & Brunch,Sandwiches,5.864915912000001,Other
SUBWAY,3801 03rd St 310,94,Low Risk,94.0,94124.0,ApFJcURXYEmqJHiavMjUUw,2.5,$,24.0,Sandwiches,Fast Food,,1.940572536,Other
JIM'S SMOKE SHOP,600 20th St,88,Low Risk,88.0,94107.0,fZ3sKWbz6REMdadtQ0ZydQ,2.5,$$,9.0,Sandwiches,Tobacco Shops,Coffee & Tea,7.278646202999999,Other
SORABOL,101 Spear St A12,94,Low Risk,94.0,94105.0,XIHnRWD4YSsG5OlmUpRpdw,3.0,$,148.0,Korean,,,15.96154424,Korean
PROGRESSIVE GROUNDS,400 CORTLAND Ave,92,Low Risk,91.92857143,94110.0,IoNI0QWbinqdphW6EnATog,4.0,$$,342.0,Coffee & Tea,Sandwiches,Breakfast & Brunch,7.302641207000001,Other
Grumpy's American Pub,125 Vallejo St,84,Low Risk,84.61538462,94111.0,F9XZP_O1niMoRUgkj3AUGA,3.5,$$,332.0,Pubs,American (Traditional),,3.5130041530000002,Other
Caffe Puccini,411 Columbus Ave,90,Low Risk,90.0,94133.0,uzqUJiCHUqV2c3PnvSsqeQ,4.0,$,966.0,Coffee & Tea,Desserts,Sandwiches,25.5784951,Other
Gelato Classico Italian Ice,576 Union St,93,High Risk,95.0,94133.0,yHUapaoG0LNKVgUagsFXpQ,4.0,$,231.0,Ice Cream & Frozen Yogurt,Gelato,,4.84630379,Other
Just Wonton,1241 Vicente St,88,Moderate Risk,86.66666667,94116.0,rVEilABR3QhuYL1qc5R9gA,3.5,$,252.0,Cantonese,Noodles,Soup,7.244568372000001,Other
MIKI RESTAURANT,3639 BALBOA St,77,Moderate Risk,79.5,94121.0,ydRU8jEKxt0X5PQdP4VdRQ,4.0,$$,469.0,Ramen,Noodles,,7.101135281,Other
Toy Boat Dessert Cafe,401 Clement St,90,Low Risk,86.30769231,94118.0,PhRj3okiYEWNLnlCihwOHA,4.0,$,654.0,Ice Cream & Frozen Yogurt,Sandwiches,Wraps,5.6677063489999995,Other
Ann's Donut Coffee Shop,4488 Mission St,92,Low Risk,93.5,94112.0,YH4PSO3BTLvI5PaDGJym6Q,3.5,$,37.0,Sandwiches,,,7.424664471,Other
LOS HERMANOS,2026 CHESTNUT St,91,High Risk,94.0,94123.0,GNc57dU-_JHP-GaHMktqiw,3.5,$,289.0,Mexican,,,9.139685228,Mexican
ON THE BRIDGE,1581 Webster St #206,72,High Risk,76.23529412,94115.0,VGb0wBUFj7sBwJdru345qg,3.5,$$,390.0,Conveyor Belt Sushi,,,3.807358184,Japanese
HAI SUN RESTAURANT,3137 LAGUNA St,84,Moderate Risk,79.37037037,94123.0,Re5RjXCeNHf6yruPvArDdA,3.0,$,142.0,Chinese,,,8.909078666000001,Chinese
Ben & Jerry's,170 O'Farrell St Basement,94,Low Risk,95.6,94102.0,RHdu4310HUrJbCCw78dmsQ,3.5,$,59.0,Ice Cream & Frozen Yogurt,,,38.49428785,Other
CORSAGNA,1668 UNION St,100,,100.0,94123.0,Pwrgh3jVDJyY_6aLQ_5C-g,4.5,$,42.0,Delis,,,6.892302796,Other
Inga Donuts,1026 Hyde St,90,Moderate Risk,92.44444444,94109.0,TnknJjVTPTOj3yp9-KEFSA,2.5,$,37.0,Donuts,Chinese,,7.48229447,Other
PARMA RESTAURANT,3314 STEINER St,96,Moderate Risk,97.0,94123.0,mf8cgiuuHtO8aDQf1QUXWg,4.0,$$,379.0,Italian,Gluten-Free,,3.02003339,Italian
HAI KY MI GIA,707 ELLIS St,81,Low Risk,84.375,94109.0,wCf2GGyEOkaSFE0xCYpgOA,4.0,$,880.0,Chinese,Vietnamese,Noodles,6.212635846,Chinese
PUNJAB KABAB HOUSE,101 EDDY St,83,Low Risk,80.06451613,94102.0,fb49tiO6Ax-D3E-mKJrH_w,3.5,$,334.0,Indian,Pakistani,Halal,39.84380257,Indian
BISTRO AIX,3340 STEINER St,98,Low Risk,92.0,94123.0,j1yOqKczaI4czwycWDcspw,4.0,$$,632.0,French,,,7.858558068,Other
Bamboo Restaurant,1441 Polk St,87,Low Risk,88.35714286,94109.0,j8Ih_-L9adYlmkh1nC-GCA,3.0,$$,412.0,Chinese,Japanese,,33.02722404,Chinese
YUKOL PLACE THAI CUISINE,2380 LOMBARD St,96,Moderate Risk,96.0,94123.0,Nsi7vy0kCVwlmvn4fgAIOA,4.0,$$,373.0,Thai,,,7.388601976,Thai
SUBWAY,2001 VAN NESS Ave,86,Moderate Risk,75.5,94109.0,f134JY-da1-ciO-jND1wfA,3.0,$,75.0,Sandwiches,Fast Food,,8.454708682,Other
MOULIN ROUGE,887 GEARY St,94,Low Risk,88.93333333,94109.0,Bsh2ZpvfraCwDXEKuqP9KQ,4.0,$,571.0,Diners,Breakfast & Brunch,American (Traditional),10.27858841,Other
PACIFIC CATCH,2027 CHESTNUT St,88,Low Risk,87.57142857,94123.0,5xp-qHGhzEzXevsSzYrwkg,4.0,$$,1539.0,Seafood,,,8.284374697,Other
The Posh Bagel,495A CASTRO St,87,High Risk,86.77777778,94114.0,y9yGHZK-m7UF-f3pszcaQg,3.0,$,136.0,Bagels,Bakeries,,6.188784332999999,Other
FIRST CUP,2911 VAN NESS Ave,96,Low Risk,97.0,94109.0,z6DlLVZXBmLz4wKWLQBAGA,4.0,$,54.0,Coffee & Tea,Sandwiches,Bagels,7.311919709,Other
NAPOLI PIZZA RESTAURANT,1045 POLK St,68,Moderate Risk,77.12,94109.0,I2QjNedfsZe3rKssrSyoIg,3.5,$,256.0,Pizza,,,5.189305098999999,Italian
WAYO,1407 VAN NESS Ave,98,Low Risk,95.33333333,94109.0,f6G4fFuwx_hQOMxvZPmqjw,4.0,$$,673.0,Sushi Bars,Japanese,,9.900827507999999,Japanese
TEN ICHI RESTAURANT,2235 FILLMORE St,78,Moderate Risk,80.4,94115.0,T1DIDe7MdSdPOpPT_VJzpw,3.5,$$,325.0,Japanese,Sushi Bars,,8.654134437,Japanese
Miyako,1470 Fillmore St,82,High Risk,81.375,94118.0,L3_71hwGHkr38nZ2daksuA,4.5,$,313.0,Ice Cream & Frozen Yogurt,Delis,Sandwiches,5.524453315,Other
GORDO TAQUERIA #2,1239 09th Ave,90,Low Risk,89.75,94122.0,bBa6-Hhe56m1RH-12IOXMw,4.0,$$,1222.0,Mexican,Comfort Food,Gluten-Free,22.89299058,Mexican
GIANT SCOOP,2708 SAN BRUNO Ave,77,Moderate Risk,75.94117647,94134.0,#NAME?,4.0,$,15.0,Chinese,Ice Cream & Frozen Yogurt,Cafes,3.463992451,Chinese
ADELITA'S CAKES,3780 MISSION St,82,Moderate Risk,77.45454545,94110.0,TYcPZVwTeLDXL27FTu3nhg,3.5,$,24.0,Latin American,Nicaraguan,,4.564882658,Other
CAFE ELENA,1 MARKET St,96,Moderate Risk,98.0,94105.0,qZR0MwhFxhvWcFYNtvcO6g,3.5,$,82.0,Greek,,,21.15034488,Mediterranean
SUPER STAR RESTAURANT,4919 MISSION St B,76,Low Risk,80.58823529,94112.0,g60n9gcnr7cco5dh-j2RbA,4.0,$,393.0,Filipino,Chinese,,14.95970724,Other
View Lounge,55 04th St,94,Moderate Risk,94.0,94103.0,lOCewxz6QNegZbArImNBfw,4.0,$$,1581.0,Lounges,Cocktail Bars,Tapas/Small Plates,33.46435855,Other
HOUSE OF HUNAN,2 Townsend St,74,Low Risk,75.6,94107.0,_4xgvSsDuGgsyfSOVrneag,3.0,$,211.0,Chinese,,,8.773508654,Chinese
Cafe Madeleine,43 O'Farrell St,92,Moderate Risk,91.5,94108.0,#NAME?,4.0,$,462.0,Desserts,Custom Cakes,Cupcakes,7.211265216,Other
Buster's,366 Columbus Ave,74,Low Risk,76.13333333,94133.0,Iq0137dlAydEXdKJorWJxw,4.0,$,767.0,American (Traditional),Cheesesteaks,Burgers,6.463996738,American
Michelangelo Caffe,579 Columbus Ave,96,Moderate Risk,94.66666667,94133.0,p4noc5fB5D3l54uik05XNA,3.5,$$,531.0,Italian,Pizza,,6.565659449,Italian
